tickers,Total Share Outstanding
DSHGARME,8288342
KBPPWBIL,98079877
PENINSULA,118666800
HAKKANIPUL,19000000
ACIFORMULA,47250000
REPUBLIC,52099197
1JANATAMF,289923349
INTRACO,98232750
EHL,93345153
QUASEMIND,72726541
DELTALIFE,123750000
NAVANAPHAR,107416217
NPOLYMER,72983668
MIDASFIN,143892507
SAMATALETH,10320000
EXIMBANK,1447557344
PDL,183550143
FEDERALINS,71039643
SOUTHEASTB,1285958067
CBLPBOND,4000
AMCL(PRAN),8000000
MONNOAGML,2732400
PRIMEFIN,272916483
ACMELAB,211601700
APEXFOODS,5702400
ISNLTD,10920003
STANDBANKL,1062074773
IBP,116205178
SONALIANSH,5424000
ORIONINFU,20359760
1STPRIMFMF,20000000
IFIC,1830558713
SAMORITA,19818998
GHAIL,215837621
RDFOOD,75973957
MHSML,100993374
MONOSPOOL,9388825
FEKDIL,218744171
BRACBANK,1608829227
ZEALBANGLA,6000000
CROWNCEMNT,148500000
RELIANCINS,105161087
ISLAMICFIN,140326670
EIL,65197464
EBL1STMF,144754222
FUWANGFOOD,110839284
TAMIJTEX,30064767
EMERALDOIL,59713500
SAIHAMCOT,148775000
PHENIXINS,40341572
SONARGAON,26467056
FUWANGCER,136269093
MEGHNACEM,30084314
MIRAKHTER,120771547
EBL,1207234715
RAHIMAFOOD,20000200
ARGONDENIM,138888606
PHARMAID,3120000
ICB,846106304
JAMUNAOIL,110424600
HEIDELBCEM,56503590
ZAHEENSPIN,113828368
RUPALIINS,76665411
ATLASBANG,33127108
BGIC,54027255
KDSALTD,71182361
CENTRALPHL,119800844
NRBCBANK,828649534
GENEXIL,115817328
UTTARAFIN,131481504
TITASGAS,989221831
GBBPOWER,101803548
GREENDELT,100188194
BBS,162929733
OIMEX,67084781
DESHBANDHU,61365150
FAREASTLIF,74742751
DACCADYE,87153453
ARAMITCEM,33880000
JUTESPINN,1700000
MEGCONMILK,16000000
ILFSL,221810246
SINGERBD,99702838
DAFODILCOM,49912262
PREMIERCEM,105450000
AFTABAUTO,105544995
PURABIGEN,59812506
POWERGRID,712726991
BDFINANCE,188236267
DOREENPWR,181118902
AMANFEED,130970400
DOMINAGE,102600000
ROBI,5237932895
BSRMLTD,298584626
SHAHJABANK,1112968352
00DSEX,1112968352
PF1STMF,60000000
UNIONINS,48402260
ASIAPACINS,42350000
MONNOFABR,115000000
ACMEPL,135000000
BEACHHATCH,41401021
BERGERPBL,46377880
BPPL,172995488
ENVOYTEX,167734767
GIB,987439687
FIRSTFIN,118544663
UNIONCAP,172573843
ORIONPHARM,234000000
ITC,128592664
ALIF,259927022
MPETROLEUM,108216108
SEAPEARL,120750000
SHASHADNIM,141035910
NLI1STMF,141035910
BIFC,100679944
PREMIERBAN,1233431133
