#,DATE,Scrip,LTP*,High,Low,Open,Close,YCP,Trade,VALUE (mn),Volume,Date,Breakout,Bullish,Bearish,MonthlyReturn,DailyReturn
332,2025-10-22,RINGSHINE,2.7,2.9,2.7,2.8,2.7,2.8,83,1.119,403266,2025-10-22,FALSE,FALSE,FALSE,-0.03571428571428559,-0.03571428571428559
333,2025-10-22,ROBI,29.7,29.9,29,29.2,29.7,29.1,1240,63.38,2148708,2025-10-22,FALSE,FALSE,TRUE,0.0033783783783782884,0.020618556701030855
334,2025-10-22,RSRMSTEEL,7.1,7.3,6.4,7.2,6.6,7.1,111,0.509,75196,2025-10-22,FALSE,FALSE,TRUE,-0.2584269662921349,-0.07042253521126762
335,2025-10-22,RUNNERAUTO,28.7,28.8,28.4,28.4,28.7,28.3,77,0.521,18252,2025-10-22,FALSE,FALSE,FALSE,-0.0859872611464968,0.014134275618374437
336,2025-10-22,RUPALIBANK,19.3,19.5,18.9,19.1,19.3,19.3,180,2.117,110973,2025-10-22,FALSE,FALSE,FALSE,-0.12669683257918551,0
337,2025-10-22,RUPALIINS,22.9,23.2,22.5,22.9,22.9,22.9,79,1.191,52299,2025-10-22,FALSE,FALSE,FALSE,-0.057613168724279906,0
338,2025-10-22,RUPALILIFE,102.3,103.5,97,99.8,102.3,98.5,2995,107.514,1061147,2025-10-22,FALSE,FALSE,TRUE,-0.06060606060606066,0.03857868020304567
339,2025-10-22,SAFKOSPINN,12.6,12.6,12.4,12.5,12.6,12.6,20,0.088,7030,2025-10-22,FALSE,FALSE,FALSE,-0.125,0
340,2025-10-22,SAIFPOWER,5.7,5.7,5.4,5.5,5.6,5.5,108,0.929,166504,2025-10-22,FALSE,FALSE,TRUE,-0.11111111111111116,0.018181818181818077
341,2025-10-22,SAIHAMCOT,15.9,16.3,15.7,15.9,15.9,16,145,3.3,206849,2025-10-22,FALSE,FALSE,FALSE,-0.12154696132596687,-0.006249999999999978
342,2025-10-22,SAIHAMTEX,14.6,15,14.6,15,14.6,14.8,48,0.582,39583,2025-10-22,FALSE,FALSE,FALSE,-0.08750000000000002,-0.013513513513513598
343,2025-10-22,SALAMCRST,16.6,17,16.5,17,16.6,16.9,345,7.436,445572,2025-10-22,FALSE,FALSE,FALSE,-0.20192307692307687,-0.017751479289940697
344,2025-10-22,SALVOCHEM,28.2,28.9,26.6,27.2,28.2,26.9,865,24.321,881659,2025-10-22,FALSE,FALSE,TRUE,-0.20563380281690147,0.048327137546468446
345,2025-10-22,SAMATALETH,92.8,94.7,88,93.2,92.8,93.2,788,6.666,72331,2025-10-22,FALSE,FALSE,FALSE,-0.1145038167938931,-0.0042918454935623185
346,2025-10-22,SAMORITA,75.3,80,74.5,76.9,75.3,75.7,865,21.822,284438,2025-10-22,FALSE,FALSE,FALSE,0.02588555858310615,-0.00528401585204763
347,2025-10-22,SANDHANINS,21.7,22.3,21.5,22.3,21.7,21.9,156,1.893,86819,2025-10-22,FALSE,FALSE,FALSE,-0.04824561403508776,-0.0091324200913242
348,2025-10-22,SAPORTL,43.2,43.7,42.9,43.2,43.2,43.2,748,56.524,1307965,2025-10-22,FALSE,FALSE,TRUE,0.04854368932038833,0
349,2025-10-22,SAVAREFR,0,0,0,0,215.5,215.5,0,0,0,2025-10-22,FALSE,TRUE,FALSE,0,0
350,2025-10-22,SBACBANK,6.9,7,6.8,6.9,6.9,6.9,65,0.604,87655,2025-10-22,FALSE,FALSE,TRUE,-0.07999999999999996,0
351,2025-10-22,SEAPEARL,35.2,35.7,34.7,35,35.2,34.9,754,18.173,516536,2025-10-22,FALSE,FALSE,TRUE,-0.2816326530612244,0.008595988538682153
352,2025-10-22,SEB1PBOND,0,0,0,0,4899,"4,899",0,0,0,2025-10-22,FALSE,FALSE,FALSE,NA,NA
353,2025-10-22,SEMLFBSLGF,5.4,5.4,5.2,5.2,5.3,5.2,37,0.838,158116,2025-10-22,FALSE,FALSE,FALSE,0,0.019230769230769162
354,2025-10-22,SEMLIBBLSF,6.3,6.4,6.2,6.2,6.3,6.2,23,0.078,12385,2025-10-22,FALSE,FALSE,FALSE,-0.03076923076923077,0.016129032258064502
355,2025-10-22,SEMLLECMF,0,0,0,0,7.4,7.4,0,0,0,2025-10-22,FALSE,FALSE,FALSE,0.04225352112676073,0
356,2025-10-22,SHAHJABANK,16.5,16.5,16.2,16.4,16.5,16.3,60,2.592,157590,2025-10-22,FALSE,FALSE,FALSE,-0.08839779005524873,0.012269938650306678
357,2025-10-22,SHARPIND,14.9,15.7,14.8,15.4,15,15.4,95,0.949,62943,2025-10-22,FALSE,FALSE,FALSE,-0.1329479768786127,-0.025974025974025983
358,2025-10-22,SHASHADNIM,18.5,18.8,18.2,18.3,18.4,18.7,123,2.245,121899,2025-10-22,FALSE,FALSE,TRUE,-0.11111111111111116,-0.016042780748663166
359,2025-10-22,SHEPHERD,14.5,14.7,14.4,14.5,14.5,14.5,117,2.94,202557,2025-10-22,FALSE,FALSE,TRUE,-0.161849710982659,0
360,2025-10-22,SHURWID,4.5,4.6,4.4,4.5,4.5,4.5,28,0.134,29570,2025-10-22,FALSE,TRUE,FALSE,-0.08163265306122458,0
361,2025-10-22,SHYAMPSUG,183.2,196.8,180,192.9,183.2,192.9,158,1.386,7554,2025-10-22,FALSE,FALSE,TRUE,-0.1115421920465568,-0.05028512182477973
362,2025-10-22,SIBL,3.5,3.7,3.4,3.6,3.5,3.6,255,4.446,1255480,2025-10-22,FALSE,FALSE,TRUE,0.12903225806451601,-0.02777777777777779
363,2025-10-22,SICL,20.2,20.5,19.8,20.1,20.2,20,201,2.51,124470,2025-10-22,FALSE,FALSE,TRUE,-0.1404255319148936,0.010000000000000009
364,2025-10-22,SILCOPHL,14.3,14.4,14,14.1,14.2,14.3,107,1.364,95979,2025-10-22,FALSE,FALSE,FALSE,-0.21546961325966862,-0.006993006993007089
365,2025-10-22,SILVAPHL,10.4,10.4,9.7,10,10.3,9.9,153,0.858,84481,2025-10-22,FALSE,FALSE,FALSE,-0.1889763779527558,0.04040404040404044
366,2025-10-22,SIMTEX,28.1,28.6,28,28,28.1,28.5,864,60.31,2140734,2025-10-22,FALSE,FALSE,FALSE,0.35748792270531404,-0.014035087719298178
367,2025-10-22,SINGERBD,102.5,103,101.4,102,102.5,102,97,1.001,9753,2025-10-22,FALSE,FALSE,FALSE,-0.034839924670433176,0.004901960784313708
368,2025-10-22,SINOBANGLA,42.1,43.2,41.4,42.8,42.1,42.9,712,12.195,289719,2025-10-22,FALSE,FALSE,FALSE,-0.23593466424682397,-0.01864801864801857
369,2025-10-22,SIPLC,57.3,57.3,53.3,54.7,56.5,54.7,1225,29.04,522384,2025-10-22,FALSE,FALSE,FALSE,0.15778688524590168,0.03290676416819016
370,2025-10-22,SJIBLPBOND,0,0,0,0,4300,"4,300",0,0,0,2025-10-22,FALSE,FALSE,FALSE,NA,NA
371,2025-10-22,SKTRIMS,7.8,8.3,7.2,7.9,7.3,7.9,97,0.441,58135,2025-10-22,FALSE,FALSE,TRUE,-0.2065217391304347,-0.07594936708860767
372,2025-10-22,SONALIANSH,186,188.9,181.7,187.9,186,187.8,817,15.154,81706,2025-10-22,FALSE,FALSE,TRUE,-0.16815742397137745,-0.009584664536741228
373,2025-10-22,SONALILIFE,68.6,68.6,66.8,66.8,67.9,67.1,95,1.116,16453,2025-10-22,FALSE,FALSE,FALSE,-0.04768583450210362,0.01192250372578263
374,2025-10-22,SONALIPAPR,249.4,252.8,240.3,246.8,249.4,246.8,2665,66.438,269022,2025-10-22,FALSE,FALSE,TRUE,-0.08510638297872342,0.010534846029173428
375,2025-10-22,SONARBAINS,27.8,28.3,27.3,27.6,27.8,27.8,84,1.025,36882,2025-10-22,FALSE,FALSE,TRUE,-0.047945205479452024,0
376,2025-10-22,SONARGAON,29.2,30.5,28.2,28.7,29.2,28.6,634,8.603,293432,2025-10-22,FALSE,FALSE,FALSE,-0.13864306784660763,0.020979020979020824
377,2025-10-22,SOUTHEASTB,8.8,8.9,8.7,8.8,8.8,8.8,90,6.738,766014,2025-10-22,FALSE,FALSE,FALSE,-0.07368421052631569,0
378,2025-10-22,SPCERAMICS,15.8,16.2,15.6,16,15.8,16,356,4.997,316894,2025-10-22,FALSE,FALSE,TRUE,-0.22549019607843124,-0.012499999999999956
379,2025-10-22,SPCL,38,38.5,37.2,37.3,38,37.6,346,9.601,253351,2025-10-22,FALSE,FALSE,FALSE,-0.2148760330578512,0.010638297872340496
380,2025-10-22,SQUARETEXT,53.8,54.9,53.4,54.9,53.8,53.7,338,7.968,147800,2025-10-22,FALSE,FALSE,FALSE,-0.03584229390681004,0.0018621973929235924
381,2025-10-22,SQURPHARMA,213,214,211.5,214,213,213,1329,91.286,428800,2025-10-22,FALSE,FALSE,FALSE,-0.02383134738771764,0
382,2025-10-22,SSSTEEL,4.8,5,4.8,5,4.8,4.9,107,0.794,164685,2025-10-22,FALSE,FALSE,FALSE,-0.05882352941176472,-0.020408163265306256
383,2025-10-22,STANCERAM,56,66,56,66,59.6,60.5,151,0.883,14779,2025-10-22,FALSE,FALSE,FALSE,-0.22697795071335924,-0.014876033057851235
384,2025-10-22,STANDARINS,38,38.2,36.5,37.7,38,37.4,324,4.572,121337,2025-10-22,FALSE,FALSE,TRUE,0.007957559681697646,0.016042780748663166
385,2025-10-22,STANDBANKL,5.3,5.4,5.2,5.2,5.3,5.3,51,0.273,51701,2025-10-22,FALSE,FALSE,TRUE,-0.036363636363636376,0
386,2025-10-22,STYLECRAFT,57.8,59.9,56,59.9,56.8,57.8,246,1.681,29213,2025-10-22,FALSE,FALSE,FALSE,-0.2426666666666667,-0.01730103806228378
387,2025-10-22,SUMITPOWER,14.4,14.4,14,14,14.4,14.1,194,4.046,283372,2025-10-22,FALSE,FALSE,FALSE,-0.05263157894736836,0.021276595744680993
388,2025-10-22,SUNLIFEINS,48.1,49.5,48,49.5,48.1,48.9,368,9.661,199792,2025-10-22,FALSE,FALSE,FALSE,-0.14107142857142851,-0.01635991820040894
389,2025-10-22,TAKAFULINS,34.5,37.6,33.9,37.6,34.4,34.4,11,0.047,1368,2025-10-22,FALSE,FALSE,FALSE,-0.008645533141210526,0
390,2025-10-22,TALLUSPIN,5.7,5.8,5.3,5.3,5.7,5.7,44,0.045,7849,2025-10-22,FALSE,FALSE,FALSE,-0.12307692307692308,0
391,2025-10-22,TAMIJTEX,119.9,119.9,117.5,117.9,119.3,119.5,138,1.261,10630,2025-10-22,FALSE,FALSE,TRUE,-0.18231665524331742,-0.0016736401673640433
392,2025-10-22,TB10Y0126,0,0,0,0,99.53,99.48,0,0,0,2025-10-22,FALSE,FALSE,FALSE,NA,NA
